380,0.00211347,0.00001576,0.00969539
390,-0.00759300,0.00000879,-0.03442946
400,0.03753289,0.00019827,0.17178096
410,0.20977571,0.00897726,1.02163662
420,-0.29331224,-0.02006629,-1.48062351
430,2.60787141,0.12493642,12.83498633
440,4.72748403,0.26796600,23.48613745
450,0.85437942,0.13875871,4.73565484
460,1.59585818,0.30164757,9.03073702
470,0.61055033,0.28926754,4.10275371
480,0.43907681,0.57646336,3.70786588
490,0.36634406,2.28484672,5.37703712
500,0.00332657,1.08691550,0.32451506
510,-0.15075374,-0.04880594,0.19916349
520,0.67971602,2.36121686,0.05488298
530,-2.35946484,-6.83257405,-0.09157670
540,10.70862597,33.10643649,0.61243064
550,12.11496241,29.27496269,0.28991097
560,-0.98267453,-3.77119669,-0.05580005
570,0.56203191,1.67833628,0.01677527
580,7.00777371,6.76523368,0.00972242
590,11.66964140,8.08594261,0.01199088
600,-3.30537846,-1.23614637,0.00092626
610,39.91781329,19.79953899,0.01298237
620,7.27092045,3.04211000,0.00096730
630,5.45048801,2.28062513,0.00049759
640,-0.02755740,-0.04001457,-0.00005390
650,0.82643030,0.32108916,0.00002239
660,0.22428478,0.07961901,-0.00000590
670,0.09466402,0.03547200,0.00000155
680,0.04270587,0.01527420,-0.00000041
690,0.03091844,0.01124130,0.00000011
700,0.00896595,0.00321917,-0.00000003
710,0.02445432,0.00883580,0.00000001
720,-0.00187847,-0.00067964,0.00000000
730,0.00084644,0.00030601,0.00000000
740,-0.00006237,-0.00002261,0.00000000
750,0.00008896,0.00003215,0.00000000
760,0.00002372,0.00000856,0.00000000
770,0.00001115,0.00000403,0.00000000
780,0.00000038,0.00000014,0.00000000
