380,0.00142657,0.00003976,0.00673871
390,0.00886669,0.00025773,0.04179773
400,0.05797580,0.00161363,0.27483004
410,0.19074179,0.00525369,0.90728039
420,0.74819756,0.02128094,3.58754224
430,1.60457598,0.06086255,7.81006174
440,2.51529070,0.15789637,12.57589667
450,2.81823288,0.30881603,14.80270016
460,2.55506404,0.51097297,14.65446292
470,1.71817944,0.77704972,11.35597547
480,0.83004909,1.24338128,7.22582066
490,0.25118037,1.78656265,3.94392694
500,0.02509422,2.88981640,2.44437902
510,0.04721854,4.60900260,1.43215625
520,0.53860083,6.59464749,0.68919990
530,1.58762110,8.42125990,0.40243332
540,2.77294643,9.19357616,0.18574314
550,4.20660488,9.72383450,0.08008682
560,5.66208761,9.50376383,0.03462542
570,7.09999720,8.89025040,0.01861110
580,8.66498216,8.21051091,0.01554030
590,9.19970020,6.74678995,0.00990075
600,9.95812501,5.87844083,0.00776883
610,9.55383367,4.75107250,0.00311712
620,8.09324237,3.58101439,0.00165840
630,5.84554901,2.39662321,0.00037144
640,4.19129819,1.63050626,0.00018888
650,2.54328349,0.95597461,-0.00000338
660,1.51749777,0.56042647,0.00000089
670,0.82962643,0.30342140,-0.00000023
680,0.42199100,0.15324152,0.00000006
690,0.17869971,0.06455981,-0.00000002
700,0.09593937,0.03464949,0.00000000
710,0.04886720,0.01764506,0.00000000
720,0.02007087,0.00724811,0.00000000
730,0.01171139,0.00422900,0.00000000
740,0.00574291,0.00207384,0.00000000
750,0.00228511,0.00082517,0.00000000
760,0.00086644,0.00031288,0.00000000
770,0.00069781,0.00025198,0.00000000
780,0.00012192,0.00004403,0.00000000
