380,0.00000159,-0.00000048,0.00001406
390,0.00152127,0.00016762,0.00668891
400,0.01758005,0.00184773,0.07878361
410,0.11837661,0.01229164,0.53912209
420,0.37211724,0.03807339,1.76062628
430,0.68554706,0.08158413,3.37376506
440,0.98240730,0.15372881,5.02415512
450,1.09421781,0.25502621,5.87581406
460,1.02438022,0.41398728,5.88109257
470,0.74703411,0.68763005,5.02405984
480,0.32587620,1.07346868,3.23530589
490,0.06094369,1.58878344,1.92637219
500,0.00265573,2.39717125,1.12847619
510,0.18894026,3.50278757,0.63760552
520,0.71751781,4.85772092,0.37728326
530,1.61744677,6.09506952,0.20518788
540,2.82264118,7.29097483,0.09954676
550,4.29649235,8.11585825,0.02815021
560,6.17713360,8.79902574,-0.00266037
570,8.28575714,9.03975072,0.00070060
580,10.21762341,8.75708295,-0.00018450
590,12.04198766,8.35008520,0.00004859
600,12.85023719,7.49161562,-0.00001280
610,12.44103075,6.33747841,0.00000337
620,10.87146708,5.02481118,-0.00000089
630,8.60452773,3.75353764,0.00000023
640,5.95029430,2.46860689,-0.00000006
650,3.84688392,1.53722668,0.00000002
660,2.25828977,0.89101523,0.00000000
670,1.24198268,0.48545468,0.00000000
680,0.64266764,0.25008137,0.00000000
690,0.32372314,0.12575819,0.00000000
700,0.16017960,0.06217128,0.00000000
710,0.07837979,0.03044942,0.00000000
720,0.03856297,0.01500572,0.00000000
730,0.01903079,0.00742323,0.00000000
740,0.00950803,0.00371870,0.00000000
750,0.00482234,0.00189193,0.00000000
760,0.00245860,0.00096776,0.00000000
770,0.00139956,0.00055317,0.00000000
780,0.00029605,0.00011744,0.00000000
