380,0.00002146,0.00000060,0.00010167
390,-0.00008782,-0.00000245,-0.00041647
400,0.00063351,0.00001777,0.00300128
410,0.00101954,0.00002735,0.00487346
420,0.03732256,0.00105512,0.17839179
430,0.24579556,0.00874233,1.19359430
440,0.98326054,0.05629800,4.88506963
450,1.93846396,0.21264472,10.18486317
460,1.25691510,0.26245158,7.25681685
470,0.54844052,0.26390330,3.66852069
480,0.22538573,0.33750675,1.96226708
490,0.08855693,0.57804246,1.33023433
500,0.01143808,1.14997643,1.00340899
510,0.01932704,2.26187248,0.72660713
520,0.30899091,3.86374020,0.41336008
530,1.02164198,5.49179040,0.26575251
540,2.09767842,7.01824296,0.14542693
550,3.61442580,8.42033705,0.07048571
560,5.72682316,9.69645070,0.03616849
570,8.40598676,10.58373979,0.02226652
580,11.38230386,10.84737608,0.02059159
590,13.97566026,10.28638809,0.01516522
600,15.26650124,9.00474502,0.01187535
610,14.52401881,7.22148265,0.00473873
620,11.88084779,5.25310971,0.00242028
630,8.19251959,3.35644911,0.00051383
640,5.06548181,1.96802433,0.00022602
650,2.73191646,1.02654812,-0.00000587
660,1.31215569,0.48425611,0.00000155
670,0.55923440,0.20449716,-0.00000041
680,0.23998881,0.08713749,0.00000011
690,0.09005935,0.03253475,-0.00000003
700,0.03512067,0.01268528,0.00000001
710,0.01369500,0.00494484,0.00000000
720,0.00518761,0.00187352,0.00000000
730,0.00195933,0.00070750,0.00000000
740,0.00070319,0.00025395,0.00000000
750,0.00026103,0.00009426,0.00000000
760,0.00010167,0.00003672,0.00000000
770,0.00004229,0.00001527,0.00000000
780,0.00000696,0.00000251,0.00000000
